timestamp,device_id,position,channel,value,unit,event_type
2026-08-07T16:01:33.648283+00:00,Support Relays PSU,output1,output1,False,,state
2026-08-07T16:01:33.649934+00:00,Coil PSU 1,output1,output1,False,,state
2026-08-07T16:01:33.650661+00:00,Coil PSU 2,output1,output1,False,,state
2026-08-07T16:01:33.651405+00:00,Support Relays PSU,v1,v1,12.0,V,state
2026-08-07T16:01:33.652122+00:00,Coil PSU 1,v1,v1,12.0,V,state
2026-08-07T16:01:33.653244+00:00,Coil PSU 2,v1,v1,12.0,V,state
2026-08-07T16:01:33.654065+00:00,Support Relays PSU,output1,output1,True,,state
2026-08-07T16:01:33.655298+00:00,Coil PSU 1,output1,output1,True,,state
2026-08-07T16:01:33.655786+00:00,Coil PSU 2,output1,output1,True,,state
2026-08-07T16:01:33.657369+00:00,DUT set 2,relay6,relay6,True,,state
2026-08-07T16:01:43.659104+00:00,DUT set 1,,,False,,state
2026-08-07T16:01:43.660690+00:00,DUT set 2,,,False,,state
2026-08-07T16:01:43.661244+00:00,Support Relays PSU,output1,output1,False,,state
2026-08-07T16:01:43.661652+00:00,Coil PSU 1,output1,output1,False,,state
2026-08-07T16:01:43.662073+00:00,Coil PSU 2,output1,output1,False,,state
