timestamp,key,value
2026-08-07T16:01:33.618373+00:00,run_id,20260807_160133_613826
2026-08-07T16:01:33.618521+00:00,run_start_utc,2026-08-07T16:01:33.615520+00:00
2026-08-07T16:01:33.618624+00:00,hostname,L22937
2026-08-07T16:01:33.618716+00:00,logged_in_user,philip.mcgaw
2026-08-07T16:01:33.618806+00:00,operating_system,Windows
2026-08-07T16:01:33.618894+00:00,os_release,11
2026-08-07T16:01:33.618979+00:00,os_version,10.0.26100
2026-08-07T16:01:33.619064+00:00,os_build,10.0.26100
2026-08-07T16:01:33.619175+00:00,os_machine,AMD64
2026-08-07T16:01:33.619266+00:00,os_platform_string,Windows-11-10.0.26100-SP0
2026-08-07T16:01:33.620586+00:00,python_version,3.13.13
2026-08-07T16:01:33.620754+00:00,instrument.DUT set 1.manufacturer,Seeit
2026-08-07T16:01:33.620829+00:00,instrument.DUT set 1.model,USBB-RELAY08
2026-08-07T16:01:33.620903+00:00,instrument.DUT set 1.serial,6QMBS
2026-08-07T16:01:33.620965+00:00,instrument.DUT set 1.firmware,
2026-08-07T16:01:33.621024+00:00,instrument.DUT set 1.idn,"SEEIT,USBB-RELAY08,6QMBS,USB-DLL"
2026-08-07T16:01:33.621083+00:00,instrument.DUT set 1.transport,native_usb
2026-08-07T16:01:33.621139+00:00,instrument.DUT set 1.selector,index:1
2026-08-07T16:01:33.621196+00:00,instrument.DUT set 1.enumeration_index,1
2026-08-07T16:01:33.621253+00:00,instrument.DUT set 1.device_path,NOTHING
2026-08-07T16:01:33.621309+00:00,instrument.DUT set 1.driver,seeit_usbb_native
2026-08-07T16:01:33.621376+00:00,instrument.DUT set 2.manufacturer,Seeit
2026-08-07T16:01:33.621436+00:00,instrument.DUT set 2.model,USBB-RELAY08
2026-08-07T16:01:33.621493+00:00,instrument.DUT set 2.serial,6QMBS
2026-08-07T16:01:33.621550+00:00,instrument.DUT set 2.firmware,
2026-08-07T16:01:33.621606+00:00,instrument.DUT set 2.idn,"SEEIT,USBB-RELAY08,6QMBS,USB-DLL"
2026-08-07T16:01:33.621663+00:00,instrument.DUT set 2.transport,native_usb
2026-08-07T16:01:33.621720+00:00,instrument.DUT set 2.selector,index:2
2026-08-07T16:01:33.621775+00:00,instrument.DUT set 2.enumeration_index,2
2026-08-07T16:01:33.621831+00:00,instrument.DUT set 2.device_path,NOTHING
2026-08-07T16:01:33.621887+00:00,instrument.DUT set 2.driver,seeit_usbb_native
2026-08-07T16:01:33.626817+00:00,instrument.Support Relays PSU.manufacturer,THURLBY THANDAR
2026-08-07T16:01:33.626912+00:00,instrument.Support Relays PSU.model,QL355P
2026-08-07T16:01:33.626948+00:00,instrument.Support Relays PSU.serial,528951
2026-08-07T16:01:33.626978+00:00,instrument.Support Relays PSU.firmware,2.05-2.06
2026-08-07T16:01:33.627006+00:00,instrument.Support Relays PSU.idn,"THURLBY THANDAR, QL355P, 528951, 2.05-2.06"
2026-08-07T16:01:33.631877+00:00,instrument.Coil PSU 1.manufacturer,THURLBY THANDAR
2026-08-07T16:01:33.632014+00:00,instrument.Coil PSU 1.model,QL355P
2026-08-07T16:01:33.632052+00:00,instrument.Coil PSU 1.serial,545531
2026-08-07T16:01:33.632083+00:00,instrument.Coil PSU 1.firmware,2.05-2.06
2026-08-07T16:01:33.632110+00:00,instrument.Coil PSU 1.idn,"THURLBY THANDAR, QL355P, 545531, 2.05-2.06"
2026-08-07T16:01:33.637001+00:00,instrument.Coil PSU 2.manufacturer,THURLBY THANDAR
2026-08-07T16:01:33.637071+00:00,instrument.Coil PSU 2.model,QL355P
2026-08-07T16:01:33.637104+00:00,instrument.Coil PSU 2.serial,545529
2026-08-07T16:01:33.637134+00:00,instrument.Coil PSU 2.firmware,2.05-2.06
2026-08-07T16:01:33.637161+00:00,instrument.Coil PSU 2.idn,"THURLBY THANDAR, QL355P, 545529, 2.05-2.06"
2026-08-07T16:01:33.639747+00:00,tiab.version,0.1.0-alpha
2026-08-07T16:01:33.639843+00:00,tiab.update_channel,unmanaged
2026-08-07T16:01:33.639908+00:00,tiab.update_ref,unknown
2026-08-07T16:01:33.639935+00:00,tiab.commit,unknown
2026-08-07T16:01:33.639962+00:00,tiab.archive_sha256,unknown
2026-08-07T16:01:33.639988+00:00,tiab.updater_version,2.2
2026-08-07T16:01:33.640014+00:00,configuration.sha256,799508c8c78d66d785cd3d9194f9295c62da6cdb630d0f9d9334c097d28c74cf
2026-08-07T16:01:33.640040+00:00,dut_mapping.sha256,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
2026-08-07T16:01:33.640066+00:00,procedure.sha256,167f5a953c865e4ecf91a052a52410f07ee550977af891f44af7c43eb0ae6652
2026-08-07T16:01:43.662172+00:00,run_finish_utc,2026-08-07T16:01:43.662165+00:00
2026-08-07T16:01:43.662232+00:00,run_status,finished
