timestamp,device_id,position,channel,value,unit,event_type
2026-08-07T16:33:58.050969+00:00,Support Relays PSU,output1,output1,False,,state
2026-08-07T16:33:58.053172+00:00,Coil PSU 1,output1,output1,False,,state
2026-08-07T16:33:58.053655+00:00,Coil PSU 2,output1,output1,False,,state
2026-08-07T16:33:58.054226+00:00,Support Relays PSU,v1,v1,12.0,V,state
2026-08-07T16:33:58.054809+00:00,Coil PSU 1,v1,v1,12.0,V,state
2026-08-07T16:33:58.055175+00:00,Coil PSU 2,v1,v1,12.0,V,state
2026-08-07T16:33:58.055699+00:00,Support Relays PSU,output1,output1,True,,state
2026-08-07T16:33:58.057187+00:00,Coil PSU 1,output1,output1,True,,state
2026-08-07T16:33:58.057966+00:00,Coil PSU 2,output1,output1,True,,state
2026-08-07T16:34:03.059899+00:00,DUT set 1,relay1,relay1,True,,state
2026-08-07T16:34:08.062200+00:00,DUT set 2,relay6,relay6,True,,state
2026-08-07T16:34:13.062963+00:00,Coil PSU 2,output1,output1,False,,state
2026-08-07T16:34:13.063589+00:00,Coil PSU 1,v1,v1,12.0,V,state
2026-08-07T16:34:13.314042+00:00,Coil PSU 1,v1,v1,11.9,V,state
2026-08-07T16:34:13.564428+00:00,Coil PSU 1,v1,v1,11.8,V,state
2026-08-07T16:34:13.815316+00:00,Coil PSU 1,v1,v1,11.700000000000001,V,state
2026-08-07T16:34:14.065900+00:00,Coil PSU 1,v1,v1,11.600000000000001,V,state
2026-08-07T16:34:14.316454+00:00,Coil PSU 1,v1,v1,11.500000000000002,V,state
2026-08-07T16:34:14.567549+00:00,Coil PSU 1,v1,v1,11.400000000000002,V,state
2026-08-07T16:34:14.818235+00:00,Coil PSU 1,v1,v1,11.300000000000002,V,state
2026-08-07T16:34:15.068770+00:00,Coil PSU 1,v1,v1,11.200000000000003,V,state
2026-08-07T16:34:15.319661+00:00,Coil PSU 1,v1,v1,11.100000000000003,V,state
2026-08-07T16:34:15.571073+00:00,Coil PSU 1,v1,v1,11.000000000000004,V,state
2026-08-07T16:34:15.822127+00:00,Coil PSU 1,v1,v1,10.900000000000004,V,state
2026-08-07T16:34:16.073259+00:00,Coil PSU 1,v1,v1,10.800000000000004,V,state
2026-08-07T16:34:16.324141+00:00,Coil PSU 1,v1,v1,10.700000000000005,V,state
2026-08-07T16:34:16.575558+00:00,Coil PSU 1,v1,v1,10.600000000000005,V,state
2026-08-07T16:34:16.826379+00:00,Coil PSU 1,v1,v1,10.500000000000005,V,state
2026-08-07T16:34:17.077164+00:00,Coil PSU 1,v1,v1,10.400000000000006,V,state
2026-08-07T16:34:17.328019+00:00,Coil PSU 1,v1,v1,10.300000000000006,V,state
2026-08-07T16:34:17.578621+00:00,Coil PSU 1,v1,v1,10.200000000000006,V,state
2026-08-07T16:34:17.829417+00:00,Coil PSU 1,v1,v1,10.100000000000007,V,state
2026-08-07T16:34:18.080027+00:00,Coil PSU 1,v1,v1,10.000000000000007,V,state
2026-08-07T16:34:18.330689+00:00,Coil PSU 1,v1,v1,9.900000000000007,V,state
2026-08-07T16:34:18.581333+00:00,Coil PSU 1,v1,v1,9.800000000000008,V,state
