timestamp,key,value
2026-08-07T16:18:55.107739+00:00,run_id,20260807_161855_102880
2026-08-07T16:18:55.107873+00:00,run_start_utc,2026-08-07T16:18:55.105281+00:00
2026-08-07T16:18:55.108015+00:00,hostname,L22937
2026-08-07T16:18:55.108116+00:00,logged_in_user,philip.mcgaw
2026-08-07T16:18:55.108212+00:00,operating_system,Windows
2026-08-07T16:18:55.108304+00:00,os_release,11
2026-08-07T16:18:55.108393+00:00,os_version,10.0.26100
2026-08-07T16:18:55.108482+00:00,os_build,10.0.26100
2026-08-07T16:18:55.108569+00:00,os_machine,AMD64
2026-08-07T16:18:55.108655+00:00,os_platform_string,Windows-11-10.0.26100-SP0
2026-08-07T16:18:55.110010+00:00,python_version,3.13.13
2026-08-07T16:18:55.110157+00:00,instrument.DUT set 1.manufacturer,Seeit
2026-08-07T16:18:55.110232+00:00,instrument.DUT set 1.model,USBB-RELAY08
2026-08-07T16:18:55.110274+00:00,instrument.DUT set 1.serial,6QMBS
2026-08-07T16:18:55.110302+00:00,instrument.DUT set 1.firmware,
2026-08-07T16:18:55.110329+00:00,instrument.DUT set 1.idn,"SEEIT,USBB-RELAY08,6QMBS,USB-DLL"
2026-08-07T16:18:55.110355+00:00,instrument.DUT set 1.transport,native_usb
2026-08-07T16:18:55.110382+00:00,instrument.DUT set 1.selector,index:1
2026-08-07T16:18:55.110408+00:00,instrument.DUT set 1.enumeration_index,1
2026-08-07T16:18:55.110433+00:00,instrument.DUT set 1.device_path,NOTHING
2026-08-07T16:18:55.110482+00:00,instrument.DUT set 1.driver,seeit_usbb_native
2026-08-07T16:18:55.110542+00:00,instrument.DUT set 2.manufacturer,Seeit
2026-08-07T16:18:55.110573+00:00,instrument.DUT set 2.model,USBB-RELAY08
2026-08-07T16:18:55.110627+00:00,instrument.DUT set 2.serial,6QMBS
2026-08-07T16:18:55.110681+00:00,instrument.DUT set 2.firmware,
2026-08-07T16:18:55.110719+00:00,instrument.DUT set 2.idn,"SEEIT,USBB-RELAY08,6QMBS,USB-DLL"
2026-08-07T16:18:55.110764+00:00,instrument.DUT set 2.transport,native_usb
2026-08-07T16:18:55.110817+00:00,instrument.DUT set 2.selector,index:2
2026-08-07T16:18:55.110869+00:00,instrument.DUT set 2.enumeration_index,2
2026-08-07T16:18:55.110922+00:00,instrument.DUT set 2.device_path,NOTHING
2026-08-07T16:18:55.110975+00:00,instrument.DUT set 2.driver,seeit_usbb_native
2026-08-07T16:18:55.117026+00:00,instrument.Support Relays PSU.manufacturer,THURLBY THANDAR
2026-08-07T16:18:55.117239+00:00,instrument.Support Relays PSU.model,QL355P
2026-08-07T16:18:55.117314+00:00,instrument.Support Relays PSU.serial,528951
2026-08-07T16:18:55.117371+00:00,instrument.Support Relays PSU.firmware,2.05-2.06
2026-08-07T16:18:55.117400+00:00,instrument.Support Relays PSU.idn,"THURLBY THANDAR, QL355P, 528951, 2.05-2.06"
2026-08-07T16:18:55.121819+00:00,instrument.Coil PSU 1.manufacturer,THURLBY THANDAR
2026-08-07T16:18:55.121936+00:00,instrument.Coil PSU 1.model,QL355P
2026-08-07T16:18:55.121980+00:00,instrument.Coil PSU 1.serial,545531
2026-08-07T16:18:55.122016+00:00,instrument.Coil PSU 1.firmware,2.05-2.06
2026-08-07T16:18:55.122051+00:00,instrument.Coil PSU 1.idn,"THURLBY THANDAR, QL355P, 545531, 2.05-2.06"
2026-08-07T16:18:55.126558+00:00,instrument.Coil PSU 2.manufacturer,THURLBY THANDAR
2026-08-07T16:18:55.126635+00:00,instrument.Coil PSU 2.model,QL355P
2026-08-07T16:18:55.126673+00:00,instrument.Coil PSU 2.serial,545529
2026-08-07T16:18:55.126706+00:00,instrument.Coil PSU 2.firmware,2.05-2.06
2026-08-07T16:18:55.126740+00:00,instrument.Coil PSU 2.idn,"THURLBY THANDAR, QL355P, 545529, 2.05-2.06"
2026-08-07T16:18:55.130284+00:00,tiab.version,0.1.0-alpha
2026-08-07T16:18:55.130502+00:00,tiab.update_channel,unmanaged
2026-08-07T16:18:55.130622+00:00,tiab.update_ref,unknown
2026-08-07T16:18:55.130698+00:00,tiab.commit,unknown
2026-08-07T16:18:55.130764+00:00,tiab.archive_sha256,unknown
2026-08-07T16:18:55.130815+00:00,tiab.updater_version,2.2
2026-08-07T16:18:55.130876+00:00,configuration.sha256,799508c8c78d66d785cd3d9194f9295c62da6cdb630d0f9d9334c097d28c74cf
2026-08-07T16:18:55.130938+00:00,dut_mapping.sha256,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
2026-08-07T16:18:55.130999+00:00,procedure.sha256,0fdc5a23f3bd44fa66e168c42db922429a7ff6b35124c538639290c2d0e92216
2026-08-07T16:19:40.403941+00:00,run_finish_utc,2026-08-07T16:19:40.403936+00:00
2026-08-07T16:19:40.404002+00:00,run_status,finished
