timestamp,key,value
2026-08-07T15:26:51.778751+00:00,run_id,20260807_152651_769805
2026-08-07T15:26:51.778853+00:00,run_start_utc,2026-08-07T15:26:51.775103+00:00
2026-08-07T15:26:51.778929+00:00,hostname,L22937
2026-08-07T15:26:51.778977+00:00,logged_in_user,philip.mcgaw
2026-08-07T15:26:51.779022+00:00,operating_system,Windows
2026-08-07T15:26:51.779065+00:00,os_release,11
2026-08-07T15:26:51.779108+00:00,os_version,10.0.26100
2026-08-07T15:26:51.779150+00:00,os_build,10.0.26100
2026-08-07T15:26:51.779193+00:00,os_machine,AMD64
2026-08-07T15:26:51.779236+00:00,os_platform_string,Windows-11-10.0.26100-SP0
2026-08-07T15:26:51.779657+00:00,python_version,3.13.13
2026-08-07T15:26:51.861064+00:00,instrument.LAB-DCH 30-665 PSU 1.manufacturer,LAB-DCH
2026-08-07T15:26:51.861287+00:00,instrument.LAB-DCH 30-665 PSU 1.model,LAB-DCH30-665
2026-08-07T15:26:51.861364+00:00,instrument.LAB-DCH 30-665 PSU 1.serial,16.06.1042
2026-08-07T15:26:51.861427+00:00,instrument.LAB-DCH 30-665 PSU 1.firmware,14.01.2016 V109-HP
2026-08-07T15:26:51.861488+00:00,instrument.LAB-DCH 30-665 PSU 1.idn,LAB-DCH30-665 S.No.: 16.06.1042
2026-08-07T15:26:51.861604+00:00,instrument.LAB-DCH 30-665 PSU 1.transport,RS232
2026-08-07T15:26:51.861666+00:00,instrument.LAB-DCH 30-665 PSU 1.connection,"9600 8-N-1, null modem"
2026-08-07T15:26:51.861724+00:00,instrument.LAB-DCH 30-665 PSU 1.driver,labdch_30_665
2026-08-07T15:26:51.866304+00:00,tiab.version,0.1.0-alpha
2026-08-07T15:26:51.866460+00:00,tiab.update_channel,unmanaged
2026-08-07T15:26:51.866546+00:00,tiab.update_ref,unknown
2026-08-07T15:26:51.866610+00:00,tiab.commit,unknown
2026-08-07T15:26:51.866670+00:00,tiab.archive_sha256,unknown
2026-08-07T15:26:51.866730+00:00,tiab.updater_version,2.2
2026-08-07T15:26:51.866835+00:00,configuration.sha256,baa14f24505bf08b19a98c57ae6e13268d9d539dc2fc9d8780caf23e228c2dc9
2026-08-07T15:26:51.866907+00:00,dut_mapping.sha256,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
2026-08-07T15:26:51.866971+00:00,procedure.sha256,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2026-08-07T15:26:51.886716+00:00,run_finish_utc,2026-08-07T15:26:51.886691+00:00
2026-08-07T15:26:51.886816+00:00,run_status,finished
