timestamp,key,value
2026-08-07T16:00:20.483373+00:00,run_id,20260807_160020_479411
2026-08-07T16:00:20.483469+00:00,run_start_utc,2026-08-07T16:00:20.481733+00:00
2026-08-07T16:00:20.483557+00:00,hostname,L22937
2026-08-07T16:00:20.483635+00:00,logged_in_user,philip.mcgaw
2026-08-07T16:00:20.483712+00:00,operating_system,Windows
2026-08-07T16:00:20.483787+00:00,os_release,11
2026-08-07T16:00:20.483863+00:00,os_version,10.0.26100
2026-08-07T16:00:20.484017+00:00,os_build,10.0.26100
2026-08-07T16:00:20.484097+00:00,os_machine,AMD64
2026-08-07T16:00:20.484188+00:00,os_platform_string,Windows-11-10.0.26100-SP0
2026-08-07T16:00:20.485474+00:00,python_version,3.13.13
2026-08-07T16:00:20.485597+00:00,instrument.DUT set 1.manufacturer,Seeit
2026-08-07T16:00:20.485657+00:00,instrument.DUT set 1.model,USBB-RELAY08
2026-08-07T16:00:20.485706+00:00,instrument.DUT set 1.serial,6QMBS
2026-08-07T16:00:20.485754+00:00,instrument.DUT set 1.firmware,
2026-08-07T16:00:20.485800+00:00,instrument.DUT set 1.idn,"SEEIT,USBB-RELAY08,6QMBS,USB-DLL"
2026-08-07T16:00:20.485847+00:00,instrument.DUT set 1.transport,native_usb
2026-08-07T16:00:20.485891+00:00,instrument.DUT set 1.selector,index:1
2026-08-07T16:00:20.485924+00:00,instrument.DUT set 1.enumeration_index,1
2026-08-07T16:00:20.485953+00:00,instrument.DUT set 1.device_path,NOTHING
2026-08-07T16:00:20.485981+00:00,instrument.DUT set 1.driver,seeit_usbb_native
2026-08-07T16:00:20.486014+00:00,instrument.DUT set 2.manufacturer,Seeit
2026-08-07T16:00:20.486044+00:00,instrument.DUT set 2.model,USBB-RELAY08
2026-08-07T16:00:20.486073+00:00,instrument.DUT set 2.serial,6QMBS
2026-08-07T16:00:20.486102+00:00,instrument.DUT set 2.firmware,
2026-08-07T16:00:20.486130+00:00,instrument.DUT set 2.idn,"SEEIT,USBB-RELAY08,6QMBS,USB-DLL"
2026-08-07T16:00:20.486169+00:00,instrument.DUT set 2.transport,native_usb
2026-08-07T16:00:20.486199+00:00,instrument.DUT set 2.selector,index:2
2026-08-07T16:00:20.486228+00:00,instrument.DUT set 2.enumeration_index,2
2026-08-07T16:00:20.486258+00:00,instrument.DUT set 2.device_path,NOTHING
2026-08-07T16:00:20.486285+00:00,instrument.DUT set 2.driver,seeit_usbb_native
2026-08-07T16:00:20.492005+00:00,instrument.Support Relays PSU.manufacturer,THURLBY THANDAR
2026-08-07T16:00:20.492251+00:00,instrument.Support Relays PSU.model,QL355P
2026-08-07T16:00:20.492314+00:00,instrument.Support Relays PSU.serial,528951
2026-08-07T16:00:20.492366+00:00,instrument.Support Relays PSU.firmware,2.05-2.06
2026-08-07T16:00:20.492414+00:00,instrument.Support Relays PSU.idn,"THURLBY THANDAR, QL355P, 528951, 2.05-2.06"
2026-08-07T16:00:20.496957+00:00,instrument.Coil PSU 1.manufacturer,THURLBY THANDAR
2026-08-07T16:00:20.497053+00:00,instrument.Coil PSU 1.model,QL355P
2026-08-07T16:00:20.497091+00:00,instrument.Coil PSU 1.serial,545531
2026-08-07T16:00:20.497122+00:00,instrument.Coil PSU 1.firmware,2.05-2.06
2026-08-07T16:00:20.497153+00:00,instrument.Coil PSU 1.idn,"THURLBY THANDAR, QL355P, 545531, 2.05-2.06"
2026-08-07T16:00:20.502287+00:00,instrument.Coil PSU 2.manufacturer,THURLBY THANDAR
2026-08-07T16:00:20.502392+00:00,instrument.Coil PSU 2.model,QL355P
2026-08-07T16:00:20.502518+00:00,instrument.Coil PSU 2.serial,545529
2026-08-07T16:00:20.502586+00:00,instrument.Coil PSU 2.firmware,2.05-2.06
2026-08-07T16:00:20.502642+00:00,instrument.Coil PSU 2.idn,"THURLBY THANDAR, QL355P, 545529, 2.05-2.06"
2026-08-07T16:00:20.504791+00:00,tiab.version,0.1.0-alpha
2026-08-07T16:00:20.504840+00:00,tiab.update_channel,unmanaged
2026-08-07T16:00:20.504872+00:00,tiab.update_ref,unknown
2026-08-07T16:00:20.504901+00:00,tiab.commit,unknown
2026-08-07T16:00:20.504929+00:00,tiab.archive_sha256,unknown
2026-08-07T16:00:20.504956+00:00,tiab.updater_version,2.2
2026-08-07T16:00:20.505029+00:00,configuration.sha256,799508c8c78d66d785cd3d9194f9295c62da6cdb630d0f9d9334c097d28c74cf
2026-08-07T16:00:20.505058+00:00,dut_mapping.sha256,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
2026-08-07T16:00:20.505085+00:00,procedure.sha256,3050a84cfbd292c962bca549be23e3416a68dcfcc7ccbc58b4d7859d15b13ea0
2026-08-07T16:00:20.524075+00:00,run_finish_utc,2026-08-07T16:00:20.524063+00:00
2026-08-07T16:00:20.524141+00:00,run_status,finished
