timestamp,device_id,position,channel,value,unit,event_type
2026-08-07T15:55:19.945102+00:00,Support Relays PSU,output1,output1,False,,state
2026-08-07T15:55:19.946665+00:00,Support Relays PSU,v1,v1,12.0,V,state
2026-08-07T15:55:19.947041+00:00,Support Relays PSU,output1,output1,True,,state
2026-08-07T15:55:19.948590+00:00,Seeit USBB Relay (Native USB) 1,,,False,,state
2026-08-07T15:55:19.949954+00:00,Seeit USBB Relay (Native USB) 2,,,False,,state
2026-08-07T15:55:19.950416+00:00,Support Relays PSU,output1,output1,False,,state
